timestamp,frame_index,structural_dx_pixels,structural_dy_pixels,structural_displacement_pixels,velocity_x_pixels_s,velocity_y_pixels_s,velocity_magnitude_pixels_s,acceleration_x_pixels_s2,acceleration_y_pixels_s2,acceleration_magnitude_pixels_s2,optical_dominant_frequency_hz,valid_feature_count,tracking_quality,measurement_valid,camera_fps
106623.9631,49,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.625,19,GOOD,True,30.7132
106623.9928,50,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.6136,19,GOOD,True,30.7177
106624.0414,51,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5958,19,GOOD,True,30.1845
106624.0706,52,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5856,19,GOOD,True,30.2304
106624.101,53,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5754,19,GOOD,True,30.2345
106624.1295,54,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5661,19,GOOD,True,30.3564
106624.1627,55,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5557,19,GOOD,True,30.3342
106624.1942,56,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5461,19,GOOD,True,30.3184
106624.2248,57,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5371,19,GOOD,True,30.7329
106624.2738,58,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5233,19,GOOD,True,30.1424
106624.3047,59,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.515,19,GOOD,True,30.1139
106624.3374,60,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.5064,19,GOOD,True,30.1914
106624.3673,61,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.9978,19,GOOD,True,30.1712
106624.4012,62,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.9812,19,GOOD,True,29.9952
106624.4315,63,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.9669,19,GOOD,True,30.0105
106624.463,64,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.9524,19,GOOD,True,30.036
106624.4946,65,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.9382,19,GOOD,True,30.5192
106624.5263,66,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.9245,19,GOOD,True,30.4977
106624.5566,67,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.9118,19,GOOD,True,30.5444
106624.5882,68,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.8988,19,GOOD,True,30.5334
106624.635,69,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.8802,19,GOOD,True,30.0712
106624.663,70,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.8695,19,GOOD,True,30.0629
106624.6948,71,4.2916,-25.701,26.0569,0.0,0.0,0.0,0.0,0.0,0.0,0.8577,19,GOOD,True,30.0481
